,case,date,code,court,Unintelligible,NOTAccountable,text
14,"IG Index plc v James Colley, Kim Benn, Thomas Nathaniel Benn, Annie Cooper, Mark Cowan, Stuart Daltry, Michelle Dove, Fenton Goldstein, Rick Ian Ilett, Thomas Osborn, Roderick Austin Regan, Christopher Slaney, Adam Teller, Sally Teller, Tzvia Teller, Ben Rossfield",7 March 2013,[2013] EWHC 478 (QB),High Court of Justice Queen's Bench Division Administrative Court,1,,"441 In his closing submissions Mr Colley submitted that IG Index decided not to bring up the question of his bank accounts at the trial because there were no grounds for discussion, no money in his accounts that were UNACCOUNTABLE and no money which could be cross referred to any of the other Defendants' bank accounts."
15,In the Matter of an Application by Joseph Walker for Judicial Review v In the Matter of a Decision by the Financial Ombudsman Service Limited,4 February 2013,[2013] NIQB 12,High Court of Justice In Northern Ireland Queen's Bench Division (Judicial Review),,1,"If the courts are reluctant (save in extremis) to supervise the FOS in the performance of its duties for the benefit of consumers individually (and, thereby, indirectly collectively), the FOS is largely UNACCOUNTABLE and may ignore its duties towards consumers."
16,Er v Turkey,31 July 2012,(2013) 56 E.H.R.R. 13,Before the European Court of Human Rights,,1,"Mr Er’s detention was not recorded, which enabled those responsible for the deprivation of liberty to conceal their involvement in the crime and remain UNACCOUNTABLE."
17,Robert Crow v Boris Johnson,16 July 2012,[2012] EWHC 1982 (QB),High Court of Justice Queen's Bench Division,,1,"The claimant was part of a corrupt, scandalous, UNACCOUNTABLE and wasteful group of cronies”."
18,Brewer v Mann,7 March 2012,[2012] EWCA Civ 246,Court of Appeal (Civil Division),1,,"On the central issue of the meeting of May 20, the judge has combined an unfair, because unheralded, attack, of his own making, on Mr Mann’s honesty with an otherwise unstructured and UNACCOUNTABLE discussion of the opposing cases."
19,Royston Jackson v Regina,22 July 2011,[2011] EWCA Crim 1870,Court of Appeal (Criminal Division),1,,"First, there was the UNACCOUNTABLE fact that Mr Boon left his flat with the intention of returning shortly afterwards."
20,Dulce Packard and Others,27 May 2011,[2011] CSOH 93,"Outer House, Court of Session",,1,The decision was taken by democratically elected UNACCOUNTABLE people who were entitled to be predisposed to their political views and policies provided they had regard to all material considerations and gave fair consideration to relevant points raised with them.
21,"Heather Ilott v David Mitson, Michael Land, The Blue Cross, Royal Society for the Protection of Birds, Royal Society for the Prevention of Cruelty to Animals",31 March 2011,[2011] EWCA Civ 346,High Court of Justice Court of Appeal (Civil Division),,1,Judges are not UNACCOUNTABLE for value judgments.
22,NORBROOK LABORATORIES LTD v CARR,14 October 2010,[2010] EWCA Civ 1108,Court of Appeal (Civil Division),,1,"The second claimant says in his witness statement that, unlike Mr Carr, he formed the view that there should be co-operation between the Association and the haaf netters in order to share the resources of the river equitably between them and that this disagreement also led him to investigate and discover that the Association had not been run in accordance with its Constitution and that its officers were, in effect, self-appointed and UNACCOUNTABLE."
23,The Queen (on the application of Maya Evans) v Secretary of State for Defence,25 June 2010,[2010] EWHC 1445 (Admin),High Court of Justice Queen's Bench Division Divisional Court,,1,"The fact that it is the subject of a secret presidential decree does not make it UNACCOUNTABLE in domestic law (and comfort was also provided by the US, which had seen the decree)."
24,Kart v Turkey,3 December 2009,(2010) 51 E.H.R.R. 40,Before the European Court of Human Rights,,1,"In his pleadings he made the point that parliamentary immunity had not been introduced to render Members of Parliament UNACCOUNTABLE or immune from punishment, but to allow them to discharge their duties in all freedom and independence and without fear."
25,The Queen on the application of A v Secretary of State for Home Department,1 October 2009,[2009] EWHC 2363 (Admin),High Court of Justice Queen's Bench Division Administrative Court sitting in Birmingham,1,,The Defendant cannot be blamed for the UNACCOUNTABLE delay in the appeal processes between June 2005 and December 2006.
26,"B, C v A",28 August 2009,2009 WL 2614156,Employment Appeal Tribunal,1,,"24 We would in fact also add that in the particular circumstances of this case we do not find C's behaviour in summarily dismissing the Claimant, and the irrationality of his argument that he needed to prevent the risk of further violence (which could equally well have been achieved by suspension), entirely UNACCOUNTABLE in human terms."
30,Caroline Taleb v Trina Coaches Ltd,5 February 2009,[2009] EWHC 419 (QB),High Court of Justice Queen's Bench Division,1,,"30 Alternatively, if, rather than postulating Mrs Taleb, for some reason, moving to her right, a collision between her and the coach was to take place as a result of some default on the part of Mr Smith, the coach driver, then one has to postulate that the coach (for some UNACCOUNTABLE reason) moved to its near side between the position where it was shown in the still from camera 4 at 17:47:6 with the offside approximately along the white line dividing the near side from the offside lanes, into the near side and then back out again; because in the still photograph at 17:47:10 (from camera 3) the coach is still in the same position relative to the white line dividing the nearside lane from the offside lane of the eastbound carriageway that it had been in at 17:47:6."
31,"YCMS Limited (trading as Young Construction Management Services) v Stephen Grabiner, Miriam Grabiner",30 January 2009,[2009] EWHC 127 (TCC),High Court of Justice Queen's Bench Division Technology and Construction Court,1,,"(for some UNACCOUNTABLE reason) from the sum due to leave a balance of £25,942.74."
32,The Queen on The Application of an v Secretary of State and the Home Department,5 November 2008,[2008] EWHC 2936 (Admin),High Court of Justice Queen's Bench Division The Administrative Court,,1,"In practice, the period is often arbitrarily lengthened beyond the twelve days maximum without a magistrate being consulted, since the border authorities, being part of the security system, are effectively UNACCOUNTABLE to the legal authorities.”"
34,R (E) v The Governing Body of Jfs and the Admissions Panel of Jfs,3 July 2008,[2008] EWHC 1535/1536 (Admin),Queen's Bench Division,,1,It is not simply a matter of “UNACCOUNTABLE” judges running amok.
36,Lambeth LBC v Johnston,19 June 2008,[2008] EWCA Civ 690,Court of Appeal (Civil Division),,1,"These rules do not establish the reviewer as an independent and impartial tribunal, but they preclude unreasoned decision-making by an unknown and UNACCOUNTABLE bureaucrat whom the applicant never has a chance to seek to influence, and any significant departure from these procedural rules prejudicial to the applicant would afford a ground of appeal.’"
37,Front Ace (Owners) v Vicky 1 (Owners),26 February 2008,[2008] EWCA Civ 101,Court of Appeal (Civil Division),1,,"While the vessel was en route from Cilacap to Karimun, the master for some UNACCOUNTABLE reason decided to turn round and proceed back the way he had come for some hours, before again turning round and resuming his original course."
38,Jayam NV v The Diamond Trading Company Ltd,20 December 2007,[2007] EWCA Civ 1360,Court of Appeal (Civil Division),1,,"38 The second factor relied on by Jayam was the use by DTC as a yardstick for H2/2003 of purchases made by Sightholders at a time when DTC's allocations were ultimately made at its discretion in a way which was opaque, unpredictable, UNACCOUNTABLE and potentially open to abuse."
39,Charman v Orion Publishing Group Ltd,11 October 2007,[2007] EWCA Civ 972,"Court of Appeal, Civil Division",,1,It is of course unanswerable and UNACCOUNTABLE to Parliament.’
40,Flamco Ltd v Mr R Smith,23 April 2007,2007 WL 2186978,Employment Appeal Tribunal,1,,"He did not tell his employers at the relevant time, for some UNACCOUNTABLE reason, that he was prepared to move in with his Mother in Nantwich but chose to be vague by saying that he had accommodation to go to."
41,Jayam N.V. v The Diamond Trading Company Limted,1 March 2007,[2007] EWHC 370 (Ch),High Court of Justice Chancery Division,,1,"113 The main factors relied on by Jayam in support of its case that DTC was in breach of its obligations, and that Jayam did as a result start off with too low a level of allocations, are    (a) the use by DTC of prototype capping mechanisms in the three selling periods preceding the introduction of SOC, which were in two cases based on purchases in the previous ten Sights, and in one case (H2/2002) based on the purchases in a period of only four Sights; and    (b) more generally, the use by DTC as a yardstick for H2/2003 of purchases made by Sightholders at a time when DTC's allocations were ultimately made at their discretion, in a way which was opaque, unpredictable, UNACCOUNTABLE and potentially open to abuse."
42,Citibank NA & Anor v QVT Financial LP,22 January 2007,[2007] EWCA Civ 11,Court of Appeal (Civil Division),,1,"He becomes a nominee, UNACCOUNTABLE to the noteholders, and knowing no duty to act even in good faith."
43,R. v Donna Marie Cumming,29 November 2006,[2006] EWCA Crim 3223,Court of Appeal,1,,"13 We do not see this as a case of mere momentary madness, some extraordinary impulse overtaking the applicant which, for some UNACCOUNTABLE reason, she was unable to resist."
44,"John Robert Medbury Clarke v Katherine Brothwood, Francis John Aston Martin, Elizabeth Constance Anne Gill, Elizabeth Adams, Britt Martin, Patrick Keef",16 November 2006,2006 EWHC 2939 (Chy),High Court of Justice Chancery Division,1,,I am firmly of the opinion that the reference … in my attendance note and subsequently subscribed in Miss Martin's will was an error on my part that for some UNACCOUNTABLE reason having referred to “1/10” passing to each of the charitable beneficiaries I continued using the figure “20” as a fraction rather than as a percentage.
45,Razzaq v General Medical Council,06 June 2006,[2006] EWHC 1300 (Admin),Queen's Bench Division (Administrative Court),1,,"Miss Berhane's evidence had to be put against Dr Razzaq's evidence that he did test her eyesight, or rather the UNACCOUNTABLE vagueness and inconsistency of his evidence."
47,"Florence Bobb, Girlie Moses v Patrick Manning",25 April 2006,[2006] UKPC 22,The Court of Appeal of Trinidad and Tobago,1,,"It follows that there is, at least in the present situation, no UNACCOUNTABLE disparity in the legislation which would make Ms Miles personally liable for instructing or inducing her staff to discriminate against Ms Gilbank but not for encouraging them to do so."
48,R(A): (H) & (AH) v Secretary of State for the Home Department,22 March 2006,[2006] EWHC 526 (Admin),High Court of Justice Queen's Bench Division Administrative Court,,1,"They were based on the belief, following arguments raised by Professor Hathaway that:— “The very structure of the Convention requires that the protection will be provided not by some legally UNACCOUNTABLE entity with de facto control, but rather by a government capable of assuming and being held responsible under international law for its actions.”"
49,David Paul Johnson v The Medical Defence Union Limited,3 March 2006,[2006] EWHC 321 (Ch),High Court of Justice Chancery Division,,1,"Its decisions in these respects are commercial ones in respect of which in principle — save perhaps in a case in which an assertion of bad faith is made, and none is here — it is UNACCOUNTABLE to the affected member."
50,Feetum and others v Levy and others,20 December 2005,[2005] EWCA Civ 1601,Court of Appeal,,1,"At law, they remain substantially UNACCOUNTABLE to any other creditor for the way in which a company's assets are dealt with."
51,David Mond v The Association of Chartered Certified Accountants,28 July 2005,[2005] EWHC 1414 (Admin),High Court of Justice Queen's Bench Division Administrative Court,1,,He said:— “[The claimant] very much regrets the UNACCOUNTABLE delays in this case.
52,Campbell-James v Guardian Media Group Plc,12 May 2005,[2005] EWHC 893 (QB),"High Court, Queen's Bench Division",1,,21 The UNACCOUNTABLE delay in acknowledging the mistake and the dismissive references to qualified privilege and fair comment seem to me to reduce the level of discount to some extent.
53,Hall v Wandsworth LBC,17 December 2004,[2004] EWCA Civ 1740,Court of Appeal,,1,"These rules do not establish the reviewer as an independent and impartial tribunal, but they preclude unreasoned decision-making by an unknown and UNACCOUNTABLE bureaucrat whom the applicant never has a chance to seek to influence, and any significant departure from these procedural rules prejudicial to the applicant would afford a ground of appeal.”"
55,"Gita Ram v Baskinder Ram, Solinder Ram, Monder Ram, Maurice William Russell (Trustee in Bankruptcy of Baskinder Ram)",5 November 2004,[2004] EWCA Civ 1452,Court of Appeal (Civil Division),1,,"Thus a judge may decide for instance that—    (i) trustee be paid in full, and wife take the remainder; or    (ii) all parties recover pro rata; or    (iii) wife be paid in full, but trustee accepts a discount on account of his UNACCOUNTABLE delay and inertia since 1998, compared with wife enterprise and persistence in this litigation, for which she deserves some reward.”"
57,Mastercare Service & Distribution Ltd v Mr B Naylor,16 September 2004,2004 WL 2458654,Employment Appeal Tribunal,1,,"If the jury could, or was required to, define the offence for itself, and accordingly might do so on some UNACCOUNTABLE or unprincipled or unexplained basis, to adopt Bacon, the sound given by the law would indeed be uncertain, and would then strike without warning."
59,Regina v Victor Davies,5 May 2004,[2004] EWCA Crim 1385,Court of Appeal Criminal Division,1,,"His later remark about his career flashing past his eyes, which may well have been thought by the board to be UNACCOUNTABLE behaviour from an experienced NCO and instructor, was more consistent with panic and guilt than the explanation which the appellant advanced."
62,"The Queen (on the application of I R) v Dr G Shetty (Responsible Medical Officer), Secretary of State for the Home Department",9 December 2003,[2003] EWHC 3022 (Admin),High Court of Justice Queens Bench Division Administrative Court,,1,"And my duty is to recognise the will of Parliament and not to seek to usurp a power which Parliament, compatibly with the Convention, has chosen to confer on an accountable minister rather than on an UNACCOUNTABLE judge."
63,The Queen on the Application of Saunders v Tendring District Council v Barrett Homes Limited,27 November 2003,[2003] EWHC 2977 (Admin),High Court of Justice Queen's Bench Division The Administrative Court,1,,"  (3) In relation to the defendant's safety/evacuation objection, it is true that the HSE letter is summarised, but not merely are the issues raised by the defendant in its statement not discussed, the passages in the HSE letter upon which the defendant had particularly relied in its statement — that the HSE would have advised against the grant of planning permission if this was a greenfield site and would encourage authorities to use the opportunity offered by redevelopment to reduce the number of people in the CD — were for some UNACCOUNTABLE reason omitted from the summary of the HES's view."
64,"Roadrunner Properties Limited v John Dean, Suffolk and Essex Joinery Limited",21 November 2003,[2003] EWCA Civ 1816,Court of Appeal (Civil Division),1,,"If there was a want of direct evidence, it was the fault of the first defendant in not giving a party wall notice, and of the second defendant in leaving UNACCOUNTABLE lacunae in the evidence of what had happened on the job."
66,Sefton James Keating v Mayor and Burgesses of the London Borough of Bromley,15 May 2003,[2003] EWHC 1070 (QB),Queen's Bench Division,1,,Ms Rose commented: ‘Sefton is a strange child [whose] behaviour is often “bizarre” and UNACCOUNTABLE.’
67,Martin Rago v Indra Ragoonath,10 April 2003,2003 WL 1822984,Court of Appeal of Trinidad and Tobago Privy Council,1,,The summary at the end of the report by loss adjusters acting for the respondent's insurers stated: “This vehicle sustained a heavy impact to the right [which appears to be an UNACCOUNTABLE error for ‘left’] broadside as can be seen in the attached photograph [not in the record].
68,R. v Ramzan Ulhaq Ghafoor,20 February 2003,[2003] EWCA Crim 557,Court of Appeal,1,,"This attack upon the girl, by a man who has no previous convictions for offences of a sexual nature but has previous convictions for violence, is perhaps UNACCOUNTABLE, except upon the basis that he had a great deal to drink."
69,Begum (Runa) v London Borough of Tower Hamlets,13 February 2003,[2003] UKHL 5,House of Lords,,1,"H13 (7) Thirdly, although the structure of the decision making process is not such that the decision maker could be called “independent”, the process was characterised by a range of safeguards set out in the regulations which precluded unreasoned decision-making by an unknown and UNACCOUNTABLE bureaucrat, whom the applicant had not had an opportunity to seek to influence."
70,Darren Coombs v Sarah Elizabeth Bennett,9 October 2002,[2002] EWCA Civ 1674,Court of Appeal (Civil Division),1,,"In some ways it is UNACCOUNTABLE why [the appellant] should have strayed into the layby, but stray into the layby I am satisfied she did, because it seems to me it would be even more strange for her not to have seen the bicycle if she had been still on the carriageway and the bicycle had come right out onto the carriageway directly in front of her."
71,Trowbridge v Trowbridge,10 July 2002,[2002] EWHC 3114 (Ch),High Court of Justice Chancery Division,1,,"Each case must be decided on its own facts, but in general there is unlikely to be an intention or purpose to defeat claims where one spouse makes payments to the other spouse genuinely to meet living expenses, in the absence of special factors such as expenses running at an unreasonably high level or an otherwise UNACCOUNTABLE disparity between their respective contributions having regard in each case to their circumstances."
72,The Queen on the Application of Ngamguem v The Secretary of State for the Home Department,8 July 2002,[2002] EWHC 1550 (Admin),High Court of Justice Queen's Bench Division (The Administrative Court),,1,"Despite the fact that the human rights position generally in Cameroon is clearly an unenviable one, and that the Douala Operational Command in particular is clearly an ill-disciplined and largely UNACCOUNTABLE unit which has committed inexcusable breaches of human rights in the past, nevertheless, it is clear from the evidence before me that when the appellant was released from detention at about the end of September 2000 on the orders of a senior officer in Operational Command, he was of no further interest to the security forces at that time."
73,Azad Gardi v Secretary of State for the Home Department,24 May 2002,[2002] EWCA Civ 750,Court of Appeal,,1,"Mr Blake QC has referred us to a paper by Professor Hathaway and Michelle Foster on ‘Internal Protection/Relocation/Flight Alternative as an Aspect of Refugee Status Determination’, where the authors emphasise that the protective obligations in the Convention are specifically addressed to ‘States' (see, for example, Arts 3–8 ), and say: ‘The very structure of the Convention requires that the protection will be provided not by some legally UNACCOUNTABLE entity with de facto control, but rather by a government capable of assuming and being held responsible under international law for its actions.’"
74,Lancaster v Patrick & Another,12 April 2002,[2002] EWHC 783 (Qb),High Court of Justice Queen's Bench Division,1,,"Even as at April 2000 there had been an UNACCOUNTABLE 14-month delay during the course of the action, so one would not readily criticise the Defendants' solicitors for not having consented to an application as at that date, and as time went on their reluctance to consent to an application to lift a stay becomes more understandable."
75,James v Fairley,21 February 2002,[2002] EWCA Civ 162,Court of Appeal,1,,For some UNACCOUNTABLE reason Annona had gone into the road when her two companions had wisely and safely stayed on the pavement.
76,"Princesca Oceanica Co. Ltd. v Societe De Cauttionnement Mutuel, Merrion Reinsurance Co. Ltd.",26 October 2001,2001 WL 1903289,High Court of Justice Queen's Bench Division Commercial Court,1,,"But I think it is not a very likely scenario, and I think it would be better to leave it for the second defendants to seek to raise the matter with something specific if, for some presently UNACCOUNTABLE reason, they are not able to put up the present security."
77,Hanson v SWEB Property Developments Ltd (Sued as South West Electricity Board),27 July 2001,[2001] EWCA Civ 1377,Court of Appeal,1,,"35 Lest it be thought that there has been UNACCOUNTABLE delay in our giving judgment in this case, it ought to be recorded that we were about to sit in order to give judgment in late May, shortly after the hearing, when we were told that the case had settled."
78,Alwyn Treherne & Ors (Suing on their own behalf and on behalf of the members of the Welsh Amatuer Boxing Federation) v The Amateur Boxing Association of England Limited,27 February 2001,2001 WL 720259,High Court of Justice Queen's Bench Division,,1,"In Wales, as in Scotland, dissatisfaction with the Welsh Amateur Boxing Association (“WABA”), which was perceived as undemocratic, UNACCOUNTABLE and not acting in the best interests of the sport, led to the formation of the Welsh Amateur Boxing Federation (“WABF”, the Claimant in the action), an unincorporated association."
79,"Twenty Two a Property Investments Limited v Messrs Simpson Curtis (A Firm), Keith Young, Robert Rodick Ackrill Breare",21 November 2000,2000 WL 1741414,Court of Appeal (Civil Division),1,,"If Mr Wilford was under the same mistaken belief as Mr Dun, it would, I fear, still have been negligence on his part, but it would explain what to me was an UNACCOUNTABLE lack of positive action on the part of someone whom I do not doubt to be a careful and competent solicitor."
80,Akkoç v Turkey,10 October 2000,(2002) 34 E.H.R.R. 51,Before the European Court of Human Rights,,1,"74 The applicant referred to the Commission's finding, endorsed by the Court in two earlier cases,80 that the legal structures in the south-east of Turkey during 1993 operated in such a manner that security force personnel and others acting under their control or with their acquiescence were often UNACCOUNTABLE."
81,Roger Raymond Jarmain v The Secretary of State for the Environment & Anr,12 April 2000,2000 WL 362521,Court of Appeal (Civil Division),1,,"When one looks — in the UNACCOUNTABLE absence of photographs — at his account of what he had done to the mobile home, it becomes easier to see why the council's officials were taken in."
82,Kiliç v Turkey,28 March 2000,(2001) 33 E.H.R.R. 58,Before the European Court of Human Rights,,1,"C227 Having regard to the above factors, the Commission finds that the legal structures in the south-east of Turkey during the relevant period in this case, namely, in or about 1993, operated in such a manner that security force personnel and others acting under their control or with their acquiescence were often UNACCOUNTABLE for their actions."
83,"Bank of Credit and Commerce International Sa (In Compulsory Liquidation) v Munawar Ali, Sultana Runi Khan and Others",25 June 1999,1999 WL 477869,High Court of Justice Chancery Division,1,,"I instance paragraphs 106, 108, 111 and 112 of his First Report; the slanted letter to 35 recruitment consultants dated the 14th September 1998 written by his assistants on, and reflecting, his instructions to them; his quotation in paragraph 19 of his First Report of an off-the-cuff observation of the Assistant General Secretary of BIFU (in the course of an interview about employment practices in the banking industry) as to the good reputation of the Bank prior to July 1991 as a considered view meriting weight and recording in his report; his failure to note in his First Report that, in response to a questionnaire sent to 250 former employees with regard to their post redundancy employment experience, 15 of the 24 who replied had found employment; his reliance in his First Report on median figures but his UNACCOUNTABLE failure on this basis to take into account the Coutts' figures (to which I shall refer), his use of the loaded expression “the issue of BCCI” in paragraph 125 of his First Report to describe at Mr Husain's interview questions as to his work experience at the Bank; and his selection and interpretation of data, e.g."
85,Overseas Medical Supplies Ltd v Orient Transport Services Ltd.,20 May 1999,[1999] C.L.C. 1243,Court of Appeal (Civil Division),1,,"For some UNACCOUNTABLE reason, as to which the defendants could give no explanation, no insurance was ever effected."
86,Ninn-Hansen v Denmark,18 May 1999,(1999) 28 E.H.R.R. CD96,ECHR,,1,"Being UNACCOUNTABLE for one's actions due to a mental illness which has occurred subsequent to the criminal act but before judgment is pronounced does not as such exclude that a case may be concluded and a penalty imposed, cf."
87,Simon Mark Rooke (By his mother and next friend) v Geoffrey Liston,9 February 1999,1999 WL 477713,Court of Appeal (Civil Division),1,,"Such a proposition was guesswork, and the defendant's failure to see the plaintiff at all remained UNACCOUNTABLE."
88,Selat Arjuna (Owners) v Contship Success (Owners),22 July 1998,[1998] C.L.C. 1495,Queen's Bench Division (Admiralty Court),1,,The case for the Selat Arjuna was that the ships were shaping to pass starboard to starboard in the open sea but that the Contship Success performed an unexpected and UNACCOUNTABLE alteration of course to starboard when passing and collided with the starboard side of the Selat Arjuna sinking her.
89,Connolly-Martin v D,21 July 1998,[1999] P.N.L.R. 350,"High Court, Chancery Division",1,,"They are capable of amounting to a case of gross and UNACCOUNTABLE error, none of it committed within the court and some of it committed away from the court, in a phase of litigation in which the opposite party was expected to and did rely upon counsel's word as to his client's intentions—a word which counsel then inexplicably induced his client to renege upon."
90,Mensah v East Hertfordshire NHS Trust,10 June 1998,1998 WL 1042510,Court of Appeal (Civil Division),1,,"We therefore have no evidence that the contents of the originating application and notice of appearance were not considered by the Chairman as the rule requires, though it is possible that the UNACCOUNTABLE absence from the notice of appearance of any reference to the neonatal unit complaint misled the Chairman."
91,United Biscuits (U.K.) Limited v Asda Stores Limited,18 March 1997,[1997] R.P.C. 513,In the High Court of Justice - Chancery Division,1,,"First, although occasional mistakes may be made for UNACCOUNTABLE reasons, it is unlikely that a significant proportion of supermarket shoppers would fail to distinguish between Puffins and Penguins if both are on sale next to each other, as they usually are."
93,The Chahal Family v United Kingdom,27 June 1995,(1995) 20 E.H.R.R. CD19,Before the European Commission of Human Rights,,1,"They have also implicitly recognised that human rights abuses by the Indian police were widespread, and that the police were relatively UNACCOUNTABLE for their unlawful acts, a fact which was not helped by the broad powers conferred by the Terrorist and Disruptive Activities (Prevention) Act 1985."
94,Dobbertin v France,25 February 1993,(1993) 16 E.H.R.R. 558,Before the European Court of Human Rights,1,,"The Government emphasises that, when the courts were able to hear and decide the case, they did so with particular diligence and investigations advanced steadily with no periods of inactivity or UNACCOUNTABLE delays."
95,Cardle v Mulrainey,9 June 1992,1992 S.L.T. 1152,High Court of Justiciary,1,,"He went on to say in the latter passage that, however UNACCOUNTABLE the condition might be, the defence was available only “if the utter alienation of reason for the time is proved”."
96,Lands Tribunal Decisions Deane v Bromley Borough Council,4 November 1991,(1992) 63 P. & C.R. 308,Lands Tribunal,1,,His application to reduce the height of the trees was made in the early autumn of 1989 but for some UNACCOUNTABLE reason most of the winter passed before consent was given.
97,R. v John Fitzgerald McKinney,1 July 1991,(1992) 13 Cr. App. R. (S.) 185,Court of Appeal,1,,"This attack upon the girl, by a man who has no previous convictions for offences of a sexual nature but has previous convictions for violence, is perhaps UNACCOUNTABLE, except upon the basis that he had had a great deal to drink."
98,"Kenneth Brian Hobday and Wendy Hobday v (1) The Secretary of State For the Environment, (2) Rochester Upon Medway City Council",29 March 1990,1990 WL 10622733,Queen's Bench Division,,1,"LORD JUSTICE LLOYD: Yes, it was; and to some extent it was based on a single word which the judge had used in his judgment that he found the decision of the inspector “UNACCOUNTABLE” , and perhaps one could read from that that it was a decision for which he really did not give adequate reasons."
99,The Post Office v Union of Communication Workers,1 February 1990,1990 WL 754747,Queen's Bench Division,1,,"On page 4, for some UNACCOUNTABLE reason, I said “9th July” when I meant “9th October” ."
101,Gatewhite Ltd. and Another v Iberia Lineas Aereas de Espana S.A.,29 July 1988,[1989] 3 W.L.R. 1080,Queen's Bench Division,1,,"The goods were UNACCOUNTABLE delayed, arriving in two lots on the 2 and 3 March and on survey were found to have been damaged or to have deteriorated through heating in the course of transit to such an extent as to be valueless."
102,Attorney General v Observer Ltd,10 February 1988,[1988] 2 W.L.R. 805,Court of Appeal,,1,"But the Security Services are not UNACCOUNTABLE. They are accountable to ministers of the Crown, who in turn, through the ballot box, are accountable to the public. M.I.5 is accountable to the Home Secretary and to the Prime Minister. The Prime Minister is the leader of a democratically elected government. The editors' complaints of unaccountability come to no more than that, in their view, the Home Secretary and Prime Minister do not exercise a sufficiently close control and that they desire ministerial control to be more openly exercised."
